Date cage set-up,Line,21/11/2022,22/11/2022,23/11/2022,24/11/2022,25/11/2022,26/11/2022,27/11/2022,
01/11/2022,BENAVI,74,148,148,148,148,148,148,
01/11/2022,004.2C,77,148,148,148,148,148,148,
01/11/2022,003.3,45,145,148,148,148,148,148,
02/11/2022,BENAVI,0,13,140,145,145,145,145,
02/11/2022,004.2C,0,12,145,145,145,145,145,
02/11/2022,003.3,0,7,135,148,148,148,148,
03/11/2022,BENAVI,0,0,1,73,142,146,147,
03/11/2022,004.2C,0,0,11,146,146,146,146,
03/11/2022,003.3,0,0,0,117,147,147,147,
