Date cage set-up,Line,26/11/2022,27/11/2022,28/11/2022,29/11/2022,30/11/2022,01/12/2022,02/12/2022,03/12/2022,04/12/2022,05/12/2022,06/12/2022,07/12/2022,08/12/2022,09/12/2022,10/12/2022,11/12/2022,12/12/2022,13/12/2022,14/12/2022,15/12/2022,16/12/2022,17/12/2022,18/12/2022,19/12/2022,20/12/2022,21/12/2022,22/12/2022
01/11/2022,BENAVI,50,50,50,50,50,50,50,50,50,48,47,47,47,47,44,44,43,39,36,34,30,29,25,21,14,13,11
01/11/2022,004.2C,50,50,50,50,50,50,50,50,50,49,48,48,48,48,46,46,45,45,45,43,38,37,31,27,18,16,14
01/11/2022,003.3,50,50,50,50,50,50,50,50,50,50,50,50,49,48,48,48,47,47,47,46,45,44,37,32,25,19,17
02/11/2022,BENAVI,50,50,50,50,50,50,50,50,50,50,50,50,49,48,48,48,47,47,46,44,43,43,37,30,23,16,15
02/11/2022,004.2C,50,50,50,49,49,49,49,49,49,49,49,49,49,49,49,49,49,48,47,46,44,43,36,29,21,16,16
02/11/2022,003.3,50,50,50,49,49,49,49,49,49,49,49,49,49,49,49,49,49,45,45,44,41,39,33,30,23,20,20
03/11/2022,BENAVI,50,50,50,50,50,50,50,50,50,50,49,48,48,48,48,48,48,44,43,40,36,35,33,28,22,19,18
03/11/2022,004.2C,50,50,50,50,50,50,50,50,50,50,49,48,48,48,45,45,45,44,42,39,37,37,36,28,19,15,13
03/11/2022,003.3,50,50,50,50,50,50,50,50,50,50,50,50,50,50,47,47,46,46,42,41,39,39,38,29,21,16,14
