Date cage set-up,Line,22/11/22,23/11/22,24/11/22,25/11/22,26/11/22,27/11/22
01/11/2022,Benavi,50,29,15,0,0,0
01/11/2022,004.2C,50,28,5,0,0,0
01/11/2022,003.3,50,50,29,0,0,0
02/11/2022,Benavi,50,50,50,20,0,0
02/11/2022,004.2C,50,50,50,42,0,0
02/11/2022,003.3,50,50,50,41,0,0
03/11/2022,Benavi,50,50,50,44,0,0
03/11/2022,004.2C,50,50,50,44,0,0
03/11/2022,003.3,50,50,50,50,40,0
