Concentration (ng),Log Concentration,Cq
100,2,18.8604
20,1.301029996,20.478
4,0.602059991,23.1878
0.8,-0.096910013,25.7644
0.16,-0.795880017,28.2199
0.032,-1.494850022,31.0258
