Date cage set-up,Line,11/11/2022,13/11/2022,14/11/2022,15/11/2022,16/11/2022,17/11/2022,18/11/2022,19/11/2022,20/11/2022,21/11/2022,22/11/2022,23/11/2022,24/11/2022,25/11/2022,26/11/2022
11/01/2022,Benavi,58,472,633,727,777,808,813,813,813,821,822,822,823,823,823
11/01/2022,004.2C,56,460,645,764,856,883,900,900,900,930,933,933,933,933,933
11/01/2022,003.3,9,286,437,519,563,575,585,585,585,593,594,594,594,594,594
11/02/2022,Benavi,0,225,433,567,673,739,769,769,769,799,806,810,810,814,814
11/02/2022,004.2C,3,73,315,449,506,530,539,539,539,549,553,554,554,559,559
11/02/2022,003.3,0,60,231,394,478,509,523,523,523,537,540,540,541,541,541
11/03/2022,Benavi,0,225,431,537,635,690,733,733,733,760,763,763,763,769,769
11/03/2022,004.2C,0,5,222,386,518,616,709,709,709,778,785,789,790,793,793
11/03/2022,003.3,0,1,102,253,365,445,516,516,516,571,575,580,582,582,582
